0,1,2,3,4,5,6,7,,,,,,,,,,,,,
Mahendra Ratna Campus,Bagmati,Education,Master,Science Education,56,11,67,,,,,,,,,,,,,
Mahendra Ratna Campus,Bagmati,HSS,Master,Sociology,18,24,42,,,,,,,,,,,,,
Mahendra Ratna Multiple  Campus,Koshi,Education,Bachelor,4-YRS B.ED.,703,157,860,,,,,,,,,,,,,
Mahendra Ratna Multiple  Campus,Koshi,Education,Master,EPM,6,16,22,,,,,,,,,,,,,
Mahendra Ratna Multiple  Campus,Koshi,HSS,Bachelor,4-YRS B.A.,228,101,329,,,,,,,,,,,,,
Mahendra Ratna Multiple  Campus,Koshi,HSS,Master,Rural Development,22,38,60,,,,,,,,,,,,,
Mahendra Ratna Multiple  Campus,Koshi,Management Bachelor,,4-YRS B.B.S.,324,222,546,,,,,,,,,,,,,
Mechi Multiple Campus,Koshi,HSS,Bachelor,4-YRS B.A.,95,74,169,,,,,,,,,,,,,
Mechi Multiple Campus,Koshi,HSS,Bachelor BCA,,52,122,174,,,,,,,,,,,,,
Mechi Multiple Campus,Koshi,HSS,Master,Anthropology,22,37,59,,,,,,,,,,,,,
Mechi Multiple Campus,Koshi,HSS,Master,Economics,12,33,45,,,,,,,,,,,,,
Mechi Multiple Campus,Koshi,HSS,Master,English,18,12,30,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
0,1,2,3,4,5,6,7,,,,,,,,,,,,,
Campus Name,Province,Faculty,Level,Programname,Female,Male,Total,,,,,,,,,,,,,
Mechi Multiple Campus,Koshi,HSS,Master,Nepali,12,9,21,,,,,,,,,,,,,
